SG,,,,
,,,,
This Frequency provides the information whether the training macro-economic scenarios used are reported on a monthly basis or a quarterly basis or a yearly basis.,,,,
"The value ""1"" means ""Monthly""; ""0"" means ""Quarterly""; and the value ""-1"" means ""Yearly"".",,,,
If it is on a quarterly basis;the data should be reported in Month 3 6 9 12 while blank need be reported in other months.,,,,
If it is on a yearly basis; the data should be reported in Month 12 while blank need be reported in Month 1-11,,,,
Growth rate on a monthly basis should be MoM growth rate (non-annualized); on a quarterly basis should be QoQ growth rate (non-annualized); on a yearly basis should be YoY growth rate.,,,,
Frequency,,1,1,1
,,,,
This Macro Type provides the information that for each country whether the training macroeconomic scenario is the change (growth rate/difference) or the level.,,,,
"The value ""1"" means ""Change (Growth Rate %)"";  the value ""0"" means ""Change (Difference)""; the value ""-1"" means ""Level"".",,,,
Macro Type,,1,0,1
,,,,
year,month, GDP (growth rate), UNEMP (difference), CPI (growth rate)
2016,8,-0.031675538,0,0.104819941
2016,9,-0.031675538,0,0.053242466
2016,10,0.970640633,0.033333333,0.035476089
2016,11,0.970640633,0.033333333,0.067380665
2016,12,0.970640633,0.033333333,0.1240387
2017,1,-0.179092442,0,0.239806031
2017,2,-0.179092442,0,-0.016772747
2017,3,-0.179092442,0,-0.114780152
2017,4,0.185263993,0,0.045964819
2017,5,0.185263993,0,0.269477479
2017,6,0.185263993,0,-0.31721695
